epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,266.029,1.22035,1.63797,1.21676,0.9375,0.90059,0.94371,0.56074,1.35176,0.91162,1.21298,0.00333082,0.00333082,0.00333082
2,514.959,1.22235,0.86267,1.20217,0.93621,0.8674,0.9187,0.49372,1.46465,0.8554,1.3496,0.0065322,0.0065322,0.0065322
3,762.532,1.27245,0.83031,1.25689,0.94689,0.89482,0.93599,0.56909,1.41755,0.75232,1.34229,0.00960158,0.00960158,0.00960158
4,1013.39,1.27732,0.80789,1.27755,0.95369,0.91417,0.94869,0.60818,1.30035,0.6264,1.26939,0.009406,0.009406,0.009406
5,1250.19,1.24602,0.75239,1.2606,0.95828,0.91582,0.95881,0.6167,1.27401,0.62256,1.26423,0.009208,0.009208,0.009208
6,1485.93,1.21506,0.70589,1.23997,0.96521,0.92824,0.96387,0.59632,1.36563,0.59221,1.29471,0.00901,0.00901,0.00901
7,1718.94,1.19267,0.67853,1.23145,0.95722,0.92346,0.96216,0.62473,1.29008,0.57414,1.27055,0.008812,0.008812,0.008812
8,1947.24,1.18265,0.65396,1.22356,0.96582,0.92777,0.96873,0.63797,1.24373,0.55142,1.22959,0.008614,0.008614,0.008614
9,2222.54,1.16817,0.63775,1.21197,0.97565,0.9397,0.96962,0.65819,1.19216,0.51041,1.19851,0.008416,0.008416,0.008416
10,2508.15,1.15172,0.6131,1.20229,0.96811,0.93949,0.97226,0.66834,1.17637,0.50785,1.18789,0.008218,0.008218,0.008218
11,2741.06,1.14185,0.60057,1.19392,0.96556,0.94043,0.97068,0.6531,1.21025,0.50586,1.20549,0.00802,0.00802,0.00802
12,2986.6,1.13488,0.59757,1.19048,0.9539,0.94141,0.96411,0.64308,1.21346,0.49382,1.21057,0.007822,0.007822,0.007822
13,3224.18,1.11937,0.58681,1.18039,0.97701,0.94231,0.97474,0.66669,1.17547,0.47567,1.19154,0.007624,0.007624,0.007624
14,3502.22,1.11703,0.57945,1.17486,0.97007,0.94371,0.97143,0.68056,1.14747,0.46441,1.16651,0.007426,0.007426,0.007426
15,3792.59,1.10935,0.56635,1.17282,0.97404,0.94981,0.97593,0.67889,1.14674,0.45964,1.16304,0.007228,0.007228,0.007228
16,4031.33,1.10026,0.55836,1.16354,0.97909,0.94278,0.97665,0.68408,1.13816,0.44886,1.16399,0.00703,0.00703,0.00703
17,4274.11,1.09013,0.54875,1.15895,0.97733,0.95017,0.98059,0.68633,1.13988,0.44045,1.16017,0.006832,0.006832,0.006832
18,4515.9,1.08296,0.53773,1.15186,0.97822,0.94934,0.97987,0.68701,1.13666,0.43777,1.16269,0.006634,0.006634,0.006634
19,4758.13,1.08616,0.5388,1.15866,0.98175,0.95497,0.98246,0.69223,1.12877,0.42823,1.15228,0.006436,0.006436,0.006436
20,5040.47,1.07102,0.52699,1.14678,0.98295,0.94747,0.98135,0.69104,1.12705,0.4188,1.14909,0.006238,0.006238,0.006238
21,5323.31,1.06871,0.52445,1.14708,0.97644,0.95685,0.97954,0.69269,1.12083,0.41518,1.14644,0.00604,0.00604,0.00604
